path;caption
-106-_jpg.rf.09e11feb43b148795af72557a9085984.jpg;Laptop màu xám bàn phím đen và màn hình đang mở
-110-_jpg.rf.b5dcacbdb43b1c98d438b8c6bf6ff5d9.jpg;Laptop màu đen bàn phím đen và màn hình đang tắt
-111-_jpg.rf.fa1bc255ed40c04b43a20ebdd5c462e2.jpg;Laptop màu xám đậm bàn phím màu xám đậm và màn hình đang tắt
-112-_jpg.rf.1bdeef2c27374aa83a351f3be0ac7e92.jpg;Laptop màu trắng bàn phím màu xám đậm và màn hình đang tắt
-116-_jpg.rf.0256c931349527390ae308cada4ad659.jpg;Laptop màu xám nhạt bàn phím màu xám nhạt và màn hình đang mở
-116-_jpg.rf.7ed403d3bc7c06499cb369ca7f56b200.jpg;Laptop màu xám nhạt bàn phím màu xám nhạt và màn hình đang mở
-119-_jpg.rf.bce39b1e232f1dbecf552aa2825a5ad9.jpg;Điện thoại màu trắng có nút ấn hình tròn bên dưới màn hình đang tắt
-119-_jpg.rf.bce39b1e232f1dbecf552aa2825a5ad9.jpg;Chuột máy tính có màu đen có in chữ trắng ở dưới thiết kế nhỏ gọn
-119-_jpg.rf.bce39b1e232f1dbecf552aa2825a5ad9.jpg;Laptop màu xám đậm bàn phím màu đen và màn hình đang mở
-122-_jpg.rf.237bd6611645e1d122ae9ec4b43a3931.jpg;Laptop màu đen bàn phím màu đen có đèn LED đỏ và màn hình đang tắt
-122-_jpg.rf.b0113217dc98229e7b284796a1a69f79.jpg;Laptop màu đen bàn phím màu đen có đèn LED đỏ và màn hình đang tắt
-123-_jpg.rf.0fb97b312a3195f70b88b2195eef3fe0.jpg;Laptop màu trắng bàn phím màu đen và màn hình đang tắt
-123-_jpg.rf.67da40e3bf7c7f9e55fcfdd75d685cde.jpg;Laptop màu trắng bàn phím màu đen và màn hình đang tắt
-125-_jpg.rf.375f8d465e5d082d59bc2aaccffc9aed.jpg;Laptop màu trắng bàn phím và touchpad màu đen màn hình lớn hơn bàn phím và đang mở
-126-_jpg.rf.0850728ec5e75ffdfd9c774334c71e1a.jpg;Laptop màu xám bàn phím và touchpad màu đen màn hình đang mở
